checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,residence_since,property_magnitude,age,housing,existing_credits,job,num_dependents,foreign_worker,class
Low,6,critical/other existing credit,radio/tv,1169,No Savings,Expert,4,male single,4,real estate,67,own,2,skilled,1,yes,1
Medium,48,existing paid,radio/tv,5951,Low,Professional,2,female div/dep/mar,2,real estate,22,own,1,skilled,1,yes,0
No Checking,12,critical/other existing credit,education,2096,Low,Experienced,2,male single,3,real estate,49,own,1,unskilled resident,2,yes,1
Low,42,existing paid,furniture/equipment,7882,Low,Experienced,2,male single,4,life insurance,45,for free,1,skilled,2,yes,1
Low,24,delayed previously,new car,4870,Low,Professional,3,male single,4,no known property,53,for free,2,skilled,2,yes,0
No Checking,36,existing paid,education,9055,No Savings,Professional,2,male single,4,no known property,35,for free,1,unskilled resident,2,yes,1
No Checking,24,existing paid,furniture/equipment,2835,High,Expert,3,male single,4,life insurance,53,own,1,skilled,1,yes,1
Medium,36,existing paid,used car,6948,Low,Professional,2,male single,2,car,35,rent,1,high qualif/self emp/mgmt,1,yes,1
No Checking,12,existing paid,radio/tv,3059,High,Experienced,2,male div/sep,4,real estate,61,own,1,unskilled resident,1,yes,1
Medium,30,critical/other existing credit,new car,5234,Low,Unemployed,4,male mar/wid,2,car,28,own,2,high qualif/self emp/mgmt,1,yes,0
Medium,12,existing paid,new car,1295,Low,Amateur,3,female div/dep/mar,1,car,25,rent,1,skilled,1,yes,0
Low,48,existing paid,business,4308,Low,Amateur,3,female div/dep/mar,4,life insurance,24,rent,1,skilled,1,yes,0
Medium,12,existing paid,radio/tv,1567,Low,Professional,1,female div/dep/mar,1,car,22,own,1,skilled,1,yes,1
Low,24,critical/other existing credit,new car,1199,Low,Expert,4,male single,4,car,60,own,2,unskilled resident,1,yes,0
Low,15,existing paid,new car,1403,Low,Professional,2,female div/dep/mar,4,car,28,rent,1,skilled,1,yes,1
Low,24,existing paid,radio/tv,1282,Medium,Professional,4,female div/dep/mar,2,car,32,own,1,unskilled resident,1,yes,0
No Checking,24,critical/other existing credit,radio/tv,2424,No Savings,Expert,4,male single,4,life insurance,53,own,2,skilled,1,yes,1
Low,30,no credits/all paid,business,8072,No Savings,Amateur,2,male single,3,car,25,own,3,skilled,1,yes,1
Medium,24,existing paid,used car,12579,Low,Expert,4,female div/dep/mar,2,no known property,44,for free,1,high qualif/self emp/mgmt,1,yes,0
No Checking,24,existing paid,radio/tv,3430,High,Expert,3,male single,2,car,31,own,1,skilled,2,yes,1
No Checking,9,critical/other existing credit,new car,2134,Low,Professional,4,male single,4,car,48,own,3,skilled,1,yes,1
Low,6,existing paid,radio/tv,2647,High,Professional,2,male single,3,real estate,44,rent,1,skilled,2,yes,1
Low,10,critical/other existing credit,new car,2241,Low,Amateur,1,male single,3,real estate,48,rent,2,unskilled resident,2,no,1
Medium,12,critical/other existing credit,used car,1804,Medium,Amateur,3,male single,4,life insurance,44,own,1,skilled,1,yes,1
No Checking,10,critical/other existing credit,furniture/equipment,2069,No Savings,Professional,2,male mar/wid,1,car,26,own,2,skilled,1,no,1
Low,6,existing paid,furniture/equipment,1374,Low,Professional,1,male single,2,real estate,36,own,1,unskilled resident,1,yes,1
No Checking,6,no credits/all paid,radio/tv,426,Low,Expert,4,male mar/wid,4,car,39,own,1,unskilled resident,1,yes,1
High,12,all paid,radio/tv,409,High,Professional,3,female div/dep/mar,3,real estate,42,rent,2,skilled,1,yes,1
Medium,7,existing paid,radio/tv,2415,Low,Professional,3,male single,2,real estate,34,own,1,skilled,1,yes,1
Low,60,delayed previously,business,6836,Low,Expert,3,male single,4,no known property,63,own,2,skilled,1,yes,0
Medium,18,existing paid,business,1913,High,Amateur,3,male mar/wid,3,real estate,36,own,1,skilled,1,yes,1
Low,24,existing paid,furniture/equipment,4020,Low,Professional,2,male single,2,car,27,own,1,skilled,1,yes,1
Medium,18,existing paid,new car,5866,Medium,Professional,2,male single,2,car,30,own,2,skilled,1,yes,1
No Checking,12,critical/other existing credit,business,1264,No Savings,Expert,4,male single,4,no known property,57,rent,1,unskilled resident,1,yes,1
High,12,existing paid,furniture/equipment,1474,Low,Amateur,4,female div/dep/mar,1,life insurance,33,own,1,high qualif/self emp/mgmt,1,yes,1
Medium,45,critical/other existing credit,radio/tv,4746,Low,Amateur,4,male single,2,life insurance,25,own,2,unskilled resident,1,yes,0
No Checking,48,critical/other existing credit,education,6110,Low,Professional,1,male single,3,no known property,31,for free,1,skilled,1,yes,1
High,18,existing paid,radio/tv,2100,Low,Professional,4,male single,2,real estate,37,own,1,skilled,1,yes,0
High,10,existing paid,domestic appliance,1225,Low,Professional,2,male single,2,car,37,own,1,skilled,1,yes,1
Medium,9,existing paid,radio/tv,458,Low,Professional,4,male single,3,real estate,24,own,1,skilled,1,yes,1
No Checking,30,existing paid,radio/tv,2333,High,Expert,4,male single,2,car,30,own,1,high qualif/self emp/mgmt,1,yes,1
Medium,12,existing paid,radio/tv,1158,High,Professional,3,male div/sep,1,car,26,own,1,skilled,1,yes,1
Medium,18,delayed previously,repairs,6204,Low,Professional,2,male single,4,real estate,44,own,1,unskilled resident,2,yes,1
Low,30,critical/other existing credit,used car,6187,Medium,Experienced,1,male mar/wid,4,car,24,rent,2,skilled,1,yes,1
Low,48,critical/other existing credit,used car,6143,Low,Expert,4,female div/dep/mar,4,no known property,58,for free,2,unskilled resident,1,yes,0
No Checking,11,critical/other existing credit,new car,1393,Low,Amateur,4,female div/dep/mar,4,car,35,own,2,high qualif/self emp/mgmt,1,yes,1
No Checking,36,existing paid,radio/tv,2299,High,Expert,4,male single,4,car,39,own,1,skilled,1,yes,1
Low,6,existing paid,used car,1352,High,Unemployed,1,female div/dep/mar,2,life insurance,23,rent,1,unemp/unskilled non res,1,yes,1
No Checking,11,critical/other existing credit,new car,7228,Low,Professional,1,male single,4,life insurance,39,own,2,unskilled resident,1,yes,1
No Checking,12,existing paid,radio/tv,2073,Medium,Professional,4,female div/dep/mar,2,real estate,28,own,1,skilled,1,yes,1
Medium,24,delayed previously,furniture/equipment,2333,No Savings,Amateur,4,male single,2,life insurance,29,own,1,unskilled resident,1,yes,1
Medium,27,delayed previously,used car,5965,Low,Expert,1,male single,2,car,30,own,2,high qualif/self emp/mgmt,1,yes,1
No Checking,12,existing paid,radio/tv,1262,Low,Professional,3,male single,2,car,25,own,1,skilled,1,yes,1
No Checking,18,existing paid,used car,3378,No Savings,Professional,2,male single,1,life insurance,31,own,1,skilled,1,yes,1
Medium,36,delayed previously,new car,2225,Low,Expert,4,male single,4,no known property,57,for free,2,skilled,1,yes,0
No Checking,6,all paid,new car,783,No Savings,Professional,1,male single,2,real estate,26,own,1,unskilled resident,2,yes,1
Medium,12,existing paid,radio/tv,6468,No Savings,Unemployed,2,male single,1,no known property,52,own,1,high qualif/self emp/mgmt,1,yes,0
No Checking,36,critical/other existing credit,radio/tv,9566,Low,Professional,2,female div/dep/mar,2,car,31,own,2,skilled,1,yes,1
High,18,existing paid,new car,1961,Low,Expert,3,female div/dep/mar,2,car,23,own,1,high qualif/self emp/mgmt,1,yes,1
